ORGANIZATION NUMBER;Party_ID;ATTRIBUTE17
5560852716;21817676;SE
5560857889;391735;SE
5560858358;23004722;SE
5560859364;21298289;SE
5560860651;21540514;SE
5560861535;18869583;SE
5560862426;23241744;SE
5560863663;10583782;SE
5560866112;22082697;SE
5560867391;10583783;SE
5560867599;22100597;SE
5560867730;10583784;SE
5560869595;902094;SE
5560869785;1557139;SE
5560869918;14568484;SE
5560874009;22651708;SE
5560876137;20556847;SE
5560877325;10583785;SE
5560880808;17228844;SE
5560881327;23161468;SE
5560881681;22651709;SE
5560886110;20695724;SE
5560887027;10583788;SE
5560888017;10583789;SE
5560889734;20958095;SE
5560890625;10583790;SE
5560892100;10583791;SE
5560892191;11432440;SE
5560895814;17476659;SE
5560896572;2346636;SE
5560896853;20756803;SE
5560898305;22651710;SE
5560898719;10583793;SE
5560899550;22651711;SE
5560900671;19071071;SE
5560900838;22238827;SE
5560901836;7524329;SE
5560902313;391742;SE
5560905662;391747;SE
5560905894;18237186;SE
5560905993;20923497;SE
5560906298;391750;SE
5560907023;391753;SE
5560907684;22544962;SE
5560908377;391755;SE
5560912106;391757;SE
5560913047;11432417;SE
5560913591;10583794;SE
5560914458;21109174;SE
5560914672;10583795;SE
5560917600;10583796;SE
5560919291;20695726;SE
5560919408;10583797;SE
5560920182;391758;SE
5560921776;22443774;SE
5560923053;23452758;SE
5560924077;18359506;SE
5560925314;391782;SE
5560927203;3778795;SE
5560927450;5997330;SE
5560928508;21298275;SE
5560929936;8715854;SE
5560933011;18299447;SE
5560936949;10583801;SE
5560942350;391788;SE
5560943267;14016143;SE
5560945098;10583802;SE
5560945619;23017839;SE
5560947920;20695728;SE
5560951179;20695729;SE
5560951401;19482072;SE
5560951450;20695730;SE
5560952144;4629336;SE
5560952920;10583804;SE
5560953829;16146666;SE
5560954736;21993608;SE
5560956426;10583806;SE
5560957028;10583807;SE
5560957499;6622572;SE
5560957952;22651712;SE
5560961418;3277281;SE
5560965880;10583808;SE
5560966086;16146667;SE
5560967431;15708076;SE
5560967530;21074258;SE
5560968348;15486528;SE
5560968645;10583809;SE
5560968744;18275396;SE
5560969619;16146668;SE
5560969940;23491433;SE
5560973272;10583810;SE
5560974981;180576;SE
5560976358;22993542;SE
5560986811;21117577;SE
5560987157;22871308;SE
5560987264;391800;SE
5560988122;10583811;SE
5560989211;391804;SE
5560989625;12787119;SE
5560992348;14984690;SE
5560993494;10583813;SE
5560994898;10583814;SE
5560999202;10583815;SE
5561000752;22993574;SE
5561001008;22769589;SE
5561001123;22747866;SE
5561001164;10583817;SE
5561001354;22544895;SE
5561001453;10583818;SE
5561001701;18783197;SE
5561001891;10583819;SE
5561008425;14778521;SE
5561010058;22082776;SE
5561013755;10583821;SE
5561015255;10583822;SE
5561020099;10583825;SE
5561020826;20267775;SE
5561028258;10649053;SE
5561028852;22708577;SE
5561029843;180577;SE
5561030437;21085;SE
5561033449;10583829;SE
5561034249;10583830;SE
5561041368;21298300;SE
5561041517;22514533;SE
5561045062;17153533;SE
5561046581;8800188;SE
5561047936;20695733;SE
5561047951;22992636;SE
5561048587;16146669;SE
5561052613;16768496;SE
5561058487;21585789;SE
5561063214;10583837;SE
5561064071;21109175;SE
5561066050;11012595;SE
5561068171;10583839;SE
5561076018;391845;SE
5561077842;10583841;SE
5561081331;21109176;SE
5561081646;13930702;SE
5561081919;10583842;SE
5561081984;20695734;SE
5561086892;10583844;SE
5561087098;16146671;SE
5561087262;21677225;SE
5561088393;19501501;SE
5561089284;18783240;SE
5561090498;10583846;SE
5561093021;10583847;SE
5561094532;10583848;SE
5561094821;10583849;SE
5561096248;21050573;SE
5561096537;19130579;SE
5561102061;10294250;SE
5561106310;10583853;SE
5561106799;18019745;SE
5561118042;10583855;SE
5561118083;18314494;SE
5561121392;22651714;SE
5561122382;21487544;SE
5561124412;19658706;SE
5561125302;6228397;SE
5561125666;10583858;SE
5561125690;10583859;SE
5561127878;17555599;SE
5561128074;22651715;SE
5561130955;13995118;SE
